Key      | Name                                       | CpuId                            | FormId   | InstForm                                                         | InstClass          | InstSig                                                  | Types                            | Category                         | Signature
0        | _allow_cpu_features                        |                                  | 0        |                                                                  |                    |                                                          |                                  | General Support                  | void _allow_cpu_features(unsigned __int64 a)
1        | _bnd_copy_ptr_bounds                       | MPX                              | 0        |                                                                  |                    |                                                          |                                  | Miscellaneous                    | void * _bnd_copy_ptr_bounds(const void * q, const void * r)
2        | _bnd_get_ptr_lbound                        | MPX                              | 0        |                                                                  |                    |                                                          |                                  | Miscellaneous                    | const void * _bnd_get_ptr_lbound(const void * q)
3        | _bnd_get_ptr_ubound                        | MPX                              | 0        |                                                                  |                    |                                                          |                                  | Miscellaneous                    | const void * _bnd_get_ptr_ubound(const void * q)
4        | _bnd_init_ptr_bounds                       | MPX                              | 0        |                                                                  |                    |                                                          |                                  | Miscellaneous                    | void * _bnd_init_ptr_bounds(const void * q)
5        | _bnd_narrow_ptr_bounds                     | MPX                              | 0        |                                                                  |                    |                                                          |                                  | Miscellaneous                    | void * _bnd_narrow_ptr_bounds(const void * q, const void * r, size_t size)
6        | _castf32_u32                               |                                  | 0        |                                                                  |                    |                                                          | Floating Point,Integer           | Cast                             | unsigned __int32 _castf32_u32(float a)
7        | _castf64_u64                               |                                  | 0        |                                                                  |                    |                                                          | Floating Point,Integer           | Cast                             | unsigned __int64 _castf64_u64(double a)
8        | _castu32_f32                               |                                  | 0        |                                                                  |                    |                                                          | Floating Point,Integer           | Cast                             | float _castu32_f32(unsigned __int32 a)
9        | _castu64_f64                               |                                  | 0        |                                                                  |                    |                                                          | Floating Point,Integer           | Cast                             | double _castu64_f64(unsigned __int64 a)
10       | _cvtsh_ss                                  |                                  | 0        |                                                                  |                    |                                                          | Floating Point                   | Convert                          | float _cvtsh_ss(unsigned short a)
11       | _cvtss_sh                                  |                                  | 0        |                                                                  |                    |                                                          | Floating Point                   | Convert                          | unsigned short _cvtss_sh(float a, int rounding)
12       | _may_i_use_cpu_feature                     |                                  | 0        |                                                                  |                    |                                                          |                                  | General Support                  | int _may_i_use_cpu_feature(unsigned __int64 a)
13       | _mm_acos_pd                                | SSE                              | 0        |                                                                  |                    |                                                          | Floating Point                   | Trigonometry                     | __m128d _mm_acos_pd(__m128d a)
14       | _mm_acos_ps                                | SSE                              | 0        |                                                                  |                    |                                                          | Floating Point                   | Trigonometry                     | __m128 _mm_acos_ps(__m128 a)
15       | _mm_acosh_pd                               | SSE                              | 0        |                                                                  |                    |                                                          | Floating Point                   | Trigonometry                     | __m128d _mm_acosh_pd(__m128d a)
16       | _mm_acosh_ps                               | SSE                              | 0        |                                                                  |                    |                                                          | Floating Point                   | Trigonometry                     | __m128 _mm_acosh_ps(__m128 a)
17       | _mm_asin_pd                                | SSE                              | 0        |                                                                  |                    |                                                          | Floating Point                   | Trigonometry                     | __m128d _mm_asin_pd(__m128d a)
18       | _mm_asin_ps                                | SSE                              | 0        |                                                                  |                    |                                                          | Floating Point                   | Trigonometry                     | __m128 _mm_asin_ps(__m128 a)
19       | _mm_asinh_pd                               | SSE                              | 0        |                                                                  |                    |                                                          | Floating Point                   | Trigonometry                     | __m128d _mm_asinh_pd(__m128d a)
20       | _mm_asinh_ps                               | SSE                              | 0        |                                                                  |                    |                                                          | Floating Point                   | Trigonometry                     | __m128 _mm_asinh_ps(__m128 a)
21       | _mm_atan_pd                                | SSE                              | 0        |                                                                  |                    |                                                          | Floating Point                   | Trigonometry                     | __m128d _mm_atan_pd(__m128d a)
22       | _mm_atan_ps                                | SSE                              | 0        |                                                                  |                    |                                                          | Floating Point                   | Trigonometry                     | __m128 _mm_atan_ps(__m128 a)
23       | _mm_atan2_pd                               | SSE                              | 0        |                                                                  |                    |                                                          | Floating Point                   | Trigonometry                     | __m128d _mm_atan2_pd(__m128d a, __m128d b)
24       | _mm_atan2_ps                               | SSE                              | 0        |                                                                  |                    |                                                          | Floating Point                   | Trigonometry                     | __m128 _mm_atan2_ps(__m128 a, __m128 b)
25       | _mm_atanh_pd                               | SSE                              | 0        |                                                                  |                    |                                                          | Floating Point                   | Trigonometry                     | __m128d _mm_atanh_pd(__m128d a)
26       | _mm_atanh_ps                               | SSE                              | 0        |                                                                  |                    |                                                          | Floating Point                   | Trigonometry                     | __m128 _mm_atanh_ps(__m128 a)
27       | _mm_castpd_ps                              | SSE2                             | 0        |                                                                  |                    |                                                          | Floating Point                   | Cast                             | __m128 _mm_castpd_ps(__m128d a)
28       | _mm_castpd_si128                           | SSE2                             | 0        |                                                                  |                    |                                                          | Floating Point,Integer           | Cast                             | __m128i _mm_castpd_si128(__m128d a)
29       | _mm_castps_pd                              | SSE2                             | 0        |                                                                  |                    |                                                          | Floating Point                   | Cast                             | __m128d _mm_castps_pd(__m128 a)
30       | _mm_castps_si128                           | SSE2                             | 0        |                                                                  |                    |                                                          | Floating Point,Integer           | Cast                             | __m128i _mm_castps_si128(__m128 a)
31       | _mm_castsi128_pd                           | SSE2                             | 0        |                                                                  |                    |                                                          | Floating Point                   | Cast                             | __m128d _mm_castsi128_pd(__m128i a)
32       | _mm_castsi128_ps                           | SSE2                             | 0        |                                                                  |                    |                                                          | Floating Point                   | Cast                             | __m128 _mm_castsi128_ps(__m128i a)
33       | _mm_cbrt_pd                                | SSE                              | 0        |                                                                  |                    |                                                          | Floating Point                   | Elementary Math Functions        | __m128d _mm_cbrt_pd(__m128d a)
34       | _mm_cbrt_ps                                | SSE                              | 0        |                                                                  |                    |                                                          | Floating Point                   | Elementary Math Functions        | __m128 _mm_cbrt_ps(__m128 a)
35       | _mm_cdfnorm_pd                             | SSE                              | 0        |                                                                  |                    |                                                          | Floating Point                   | Probability/Statistics           | __m128d _mm_cdfnorm_pd(__m128d a)
36       | _mm_cdfnorm_ps                             | SSE                              | 0        |                                                                  |                    |                                                          | Floating Point                   | Probability/Statistics           | __m128 _mm_cdfnorm_ps(__m128 a)
37       | _mm_cdfnorminv_pd                          | SSE                              | 0        |                                                                  |                    |                                                          | Floating Point                   | Probability/Statistics           | __m128d _mm_cdfnorminv_pd(__m128d a)
38       | _mm_cdfnorminv_ps                          | SSE                              | 0        |                                                                  |                    |                                                          | Floating Point                   | Probability/Statistics           | __m128 _mm_cdfnorminv_ps(__m128 a)
39       | _mm_cexp_ps                                | SSE                              | 0        |                                                                  |                    |                                                          | Floating Point                   | Elementary Math Functions        | __m128 _mm_cexp_ps(__m128 a)
40       | _mm_clevict                                | KNCNI                            | 0        |                                                                  |                    | CLEVICT0 m8                                              |                                  | General Support                  | void _mm_clevict(const void * ptr, int level)
41       | _mm_clog_ps                                | SSE                              | 0        |                                                                  |                    |                                                          | Floating Point                   | Elementary Math Functions        | __m128 _mm_clog_ps(__m128 a)
42       | _mm_cos_pd                                 | SSE                              | 0        |                                                                  |                    |                                                          | Floating Point                   | Trigonometry                     | __m128d _mm_cos_pd(__m128d a)
43       | _mm_cos_ps                                 | SSE                              | 0        |                                                                  |                    |                                                          | Floating Point                   | Trigonometry                     | __m128 _mm_cos_ps(__m128 a)
44       | _mm_cosd_pd                                | SSE                              | 0        |                                                                  |                    |                                                          | Floating Point                   | Trigonometry                     | __m128d _mm_cosd_pd(__m128d a)
45       | _mm_cosd_ps                                | SSE                              | 0        |                                                                  |                    |                                                          | Floating Point                   | Trigonometry                     | __m128 _mm_cosd_ps(__m128 a)
46       | _mm_cosh_pd                                | SSE                              | 0        |                                                                  |                    |                                                          | Floating Point                   | Trigonometry                     | __m128d _mm_cosh_pd(__m128d a)
47       | _mm_cosh_ps                                | SSE                              | 0        |                                                                  |                    |                                                          | Floating Point                   | Trigonometry                     | __m128 _mm_cosh_ps(__m128 a)
48       | _mm_csqrt_ps                               | SSE                              | 0        |                                                                  |                    |                                                          | Floating Point                   | Elementary Math Functions        | __m128 _mm_csqrt_ps(__m128 a)
49       | _mm_cvtpi16_ps                             | SSE                              | 0        |                                                                  |                    |                                                          | Floating Point                   | Convert                          | __m128 _mm_cvtpi16_ps(__m64 a)
50       | _mm_cvtpi32x2_ps                           | SSE                              | 0        |                                                                  |                    |                                                          | Floating Point                   | Convert                          | __m128 _mm_cvtpi32x2_ps(__m64 a, __m64 b)
