# https://docs.microsoft.com/en-us/cpp/build/reference/compiler-options-listed-alphabetically?view=msvc-170
"Option"                                ,"Purpose"
"@"                                     ,"Specifies a response file."
"/?"                                    ,"Lists the compiler options."
"/AI<dir>"                              ,"Specifies a directory to search to resolve file references passed to the #using directive."
"/analyze"                              ,"Enables code analysis."
"/arch:<IA32|SSE|SSE2|AVX|AVX2|AVX512>" ,"Minimum CPU architecture requirements. IA32, SSE, and SSE2 are x86 only."
"/await"                                ,"Enable coroutines (resumable functions) extensions."
"/await:strict"                         ,"Enable standard C++20 coroutine support with earlier language versions."
"/bigobj"                               ,"Increases the number of addressable sections in an .obj file."
"/C"                                    ,"Preserves comments during preprocessing."
"/c"                                    ,"Compiles without linking."
"/cgthreads"                            ,"Specifies number of cl.exe threads to use for optimization and code generation."
"/clr"                                  ,"Produces an output file to run on the common language runtime."
"/clr:implicitKeepAlive-"               ,"Turn off implicit emission of System::GC::KeepAlive(this)."
"/clr:initialAppDomain"                 ,"Enable initial AppDomain behavior of Visual C++ 2002."
"/clr:netcore"                          ,"Produce assemblies targeting .NET Core runtime."
"/clr:noAssembly"                       ,"Don't produce an assembly."
"/clr:nostdimport"                      ,"Don't import any required assemblies implicitly."
"/clr:nostdlib"                         ,"Ignore the system .NET framework directory when searching for assemblies."
"/clr:pure"                             ,"Produce an IL-only output file (no native executable code)."
"/clr:safe"                             ,"Produce an IL-only verifiable output file."
"/constexpr:backtrace<N>"               ,"Show N constexpr evaluations in diagnostics (default: 10)."
"/constexpr:depth<N>"                   ,"Recursion depth limit for constexpr evaluation (default: 512)."
"/constexpr:steps<N>"                   ,"Terminate constexpr evaluation after N steps (default: 100000)"
"/D<name>{=|#}<text>"                   ,"Defines constants and macros."
"/diagnostics"                          ,"Diagnostics format: prints column information."
"/diagnostics:caret[-]"                 ,"Diagnostics format: prints column and the indicated line of source."
"/diagnostics:classic"                  ,"Use legacy diagnostics format."
"/doc"                                  ,"Processes documentation comments to an XML file."
"/E"                                    ,"Copies preprocessor output to standard output."
"/EHa"                                  ,"Enable C++ exception handling (with SEH exceptions)."
"/EHc"                                  ,"extern ""C"" defaults to nothrow."
"/EHr"                                  ,"Always generate noexcept runtime termination checks."
"/EHs"                                  ,"Enable C++ exception handling (no SEH exceptions)."
"/EP"                                   ,"Copies preprocessor output to standard output."
"/errorReport"                          ,"Deprecated. Error reporting is controlled by Windows Error Reporting (WER) settings."
"/execution-charset"                    ,"Set execution character set."
"/experimental:module"                  ,"Enables experimental module support."
"/exportHeader"                         ,"Create the header units files (.ifc) specified by the input arguments."
"/external:anglebrackets"               ,"Treat all headers included via <> as external."
"/external:env:<var>"                   ,"Specify an environment variable with locations of external headers."
"/external:I <path>"                    ,"Specify location of external headers."
"/external:templates[-]"                ,"Evaluate warning level across template instantiation chain."
"/external:W<n>"                        ,"Set warning level for external headers."
"/F"                                    ,"Sets stack size."
"/FA"                                   ,"Configures an assembly listing file."
"/Fa"                                   ,"Creates an assembly listing file."
"/fastfail"                             ,"Enable fast-fail mode."
"/favor:<blend|AMD64|INTEL64|ATOM>"     ,"Produces code that is optimized for a specified architecture, or for a range of architectures."
"/FC"                                   ,"Displays the full path of source code files passed to cl.exe in diagnostic text."
"/Fd"                                   ,"Renames program database file."
"/Fe"                                   ,"Renames the executable file."
"/FI<file>"                             ,"Preprocesses the specified include file."
"/Fi"                                   ,"Specifies the preprocessed output file name."
"/Fm"                                   ,"Creates a mapfile."
"/Fo"                                   ,"Creates an object file."
"/Fp"                                   ,"Specifies a precompiled header file name."
"/fp:contract"                          ,"Consider floating-point contractions when generating code."
"/fp:except[-]"                         ,"Consider floating-point exceptions when generating code."
"/fp:fast"                              ,"""fast"" floating-point model; results are less predictable."
"/fp:precise"                           ,"""precise"" floating-point model; results are predictable."
"/fp:strict"                            ,"""strict"" floating-point model (implies /fp:except)."
"/fpcvt:BC"                             ,"Backward-compatible floating-point to unsigned integer conversions."
"/fpcvt:IA"                             ,"Intel native floating-point to unsigned integer conversion behavior."
"/FR, /Fr"                              ,"Name generated .sbr browser files. /Fr is deprecated."
"/FS"                                   ,"Forces writes to the PDB file to be serialized through MSPDBSRV.EXE."
"/fsanitize"                            ,"Enables compilation of sanitizer instrumentation such as AddressSanitizer."
"/fsanitize-coverage"                   ,"Enables compilation of code coverage instrumentation for libraries such as LibFuzzer."
"/Ft<dir>"                              ,"Location of the header files generated for #import."
"/FU<file>"                             ,"Forces the use of a file name, as if it had been passed to the #using directive."
"/Fx"                                   ,"Merges injected code with the source file."
"/GA"                                   ,"Optimizes for Windows applications."
"/Gd"                                   ,"Uses the __cdecl calling convention. (x86 only)"
"/Ge"                                   ,"Deprecated. Activates stack probes."
"/GF"                                   ,"Enables string pooling."
"/GH"                                   ,"Calls hook function _pexit."
"/Gh"                                   ,"Calls hook function _penter."
"/GL[-]"                                ,"Enables whole program optimization."
"/Gm[-]"                                ,"Deprecated. Enables minimal rebuild."
"/GR[-]"                                ,"Enables run-time type information (RTTI)."
"/Gr"                                   ,"Uses the __fastcall calling convention. (x86 only)"
"/GS[-]"                                ,"Checks buffer security."
"/Gs[n]"                                ,"Controls stack probes."
"/GT"                                   ,"Supports fiber safety for data allocated by using static thread-local storage."
"/Gu[-]"                                ,"Ensure distinct functions have distinct addresses."
"/guard:cf[-]"                          ,"Adds control flow guard security checks."
"/guard:ehcont[-]"                      ,"Enables EH continuation metadata."
"/Gv"                                   ,"Uses the __vectorcall calling convention. (x86 and x64 only)"
"/Gw[-]"                                ,"Enables whole-program global data optimization."
"/GX[-]"                                ,"Deprecated. Enables synchronous exception handling. Use /EH instead."
"/Gy[-]"                                ,"Enables function-level linking."
"/GZ"                                   ,"Deprecated. Enables fast checks. (Same as /RTC1)"
"/Gz"                                   ,"Uses the __stdcall calling convention. (x86 only)"
"/H"                                    ,"Deprecated. Restricts the length of external (public) names."
"/headerName"                           ,"Build a header unit from the specified header."
"/headerUnit"                           ,"Specify where to find the header unit file (.ifc) for the specified header."
"/HELP"                                 ,"Lists the compiler options."
"/homeparams"                           ,"Forces parameters passed in registers to be written to their locations on the stack upon function entry. This compiler option is only for the x64 compilers (native and cross compile)."
"/hotpatch"                             ,"Creates a hotpatchable image."
"/I<dir>"                               ,"Searches a directory for include files."
"/ifcOutput"                            ,"Specify output file or directory for .ifc files."
"/interface"                            ,"Treat the input file as a module interface unit."
"/internalPartition"                    ,"Treat the input file as an internal partition unit."
"/J"                                    ,"Changes the default char type."
"/JMC"                                  ,"Supports native C++ Just My Code debugging."
"/kernel"                               ,"The compiler and linker will create a binary that can be executed in the Windows kernel."
"/LD"                                   ,"Creates a dynamic-link library."
"/LDd"                                  ,"Creates a debug dynamic-link library."
"/link"                                 ,"Passes the specified option to LINK."
"/LN"                                   ,"Creates an MSIL .netmodule."
"/MD"                                   ,"Compiles to create a multithreaded DLL, by using MSVCRT.lib."
"/MDd"                                  ,"Compiles to create a debug multithreaded DLL, by using MSVCRTD.lib."
"/MP"                                   ,"Builds multiple source files concurrently."
"/MT"                                   ,"Compiles to create a multithreaded executable file, by using LIBCMT.lib."
"/MTd"                                  ,"Compiles to create a debug multithreaded executable file, by using LIBCMTD.lib."
"/nologo"                               ,"Suppresses display of sign-on banner."
"/O1"                                   ,"Creates small code."
"/O2"                                   ,"Creates fast code."
"/Ob<n>"                                ,"Controls inline expansion."
"/Od"                                   ,"Disables optimization."
"/Og"                                   ,"Deprecated. Uses global optimizations."
"/Oi[-]"                                ,"Generates intrinsic functions."
"/openmp"                               ,"Enables #pragma omp in source code."
"/openmp:experimental"                  ,"Enable OpenMP 2.0 language extensions plus select OpenMP 3.0+ language extensions."
"/openmp:llvm"                          ,"OpenMP language extensions using LLVM runtime."
"/options:strict"                       ,"Unrecognized compiler options are errors."
"/Os"                                   ,"Favors small code."
"/Ot"                                   ,"Favors fast code."
"/Ox"                                   ,"A subset of /O2 that doesn't include /GF or /Gy."
"/Oy"                                   ,"Omits frame pointer. (x86 only)"
"/P"                                    ,"Writes preprocessor output to a file."
"/PD"                                   ,"Print all macro definitions."
"/permissive[-]"                        ,"Set standard-conformance mode."
"/PH"                                   ,"Generate #pragma file_hash when preprocessing."
"/presetPadding"                        ,"Zero initialize padding for stack based class types."
"/Qfast_transcendentals"                ,"Generates fast transcendentals."
"/QIfist"                               ,"Deprecated. Suppresses the call of the helper function _ftol when a conversion from a floating-point type to an integral type is required. (x86 only)"
"/Qimprecise_fwaits"                    ,"Removes fwait commands inside try blocks."
"/QIntel-jcc-erratum"                   ,"Mitigates the performance impact of the Intel JCC erratum microcode update."
"/Qpar-report:<n>"                      ,"Enables reporting levels for automatic parallelization."
"/Qpar"                                 ,"Enables automatic parallelization of loops."
"/Qsafe_fp_loads"                       ,"Uses integer move instructions for floating-point values and disables certain floating point load optimizations."
"/Qspectre[-]"                          ,"Enable mitigations for CVE 2017-5753, for a class of Spectre attacks."
"/Qspectre-load"                        ,"Generate serializing instructions for every load instruction."
"/Qspectre-load-cf"                     ,"Generate serializing instructions for every control flow instruction that loads memory."
"/Qvec-report:<n>"                      ,"Enables reporting levels for automatic vectorization."
"/reference"                            ,"Use named module IFC."
"/RTC1"                                 ,"Enable fast runtime checks (equivalent to /RTCsu)."
"/RTCc"                                 ,"Convert to smaller type checks at run-time."
"/RTCs"                                 ,"Enable stack frame runtime checks."
"/RTCu"                                 ,"Enables uninitialized local usage checks."
"/scanDependencies"                     ,"List module dependencies in C++ Standard JSON form."
"/sdl"                                  ,"Enable more security features and warnings."
"/showIncludes"                         ,"Displays a list of all include files during compilation."
"/source-charset"                       ,"Set source character set."
"/sourceDependencies"                   ,"List all source-level dependencies."
"/sourceDependencies:directives"        ,"List module and header unit dependencies."
"/std:c++14"                            ,"C++14 standard ISO/IEC 14882:2014 (default)."
"/std:c++17"                            ,"C++17 standard ISO/IEC 14882:2017."
"/std:c++20"                            ,"C++20 standard ISO/IEC 14882:2020."
"/std:c++latest"                        ,"The latest draft C++ standard preview features."
"/std:c11"                              ,"C11 standard ISO/IEC 9899:2011."
"/std:c17"                              ,"C17 standard ISO/IEC 9899:2018."
"/TC"                                   ,"Specifies all source files are C."
"/Tc"                                   ,"Specifies a C source file."
"/TP"                                   ,"Specifies all source files are C++."
"/Tp"                                   ,"Specifies a C++ source file."
"/translateInclude"                     ,"Treat #include as import."
"/U<name>"                              ,"Removes a predefined macro."
"/u"                                    ,"Removes all predefined macros."
"/utf-8"                                ,"Set source and execution character sets to UTF-8."
"/V"                                    ,"Deprecated. Sets the version string."
"/validate-charset"                     ,"Validate UTF-8 files for only compatible characters."
"/vd{0|1|2}"                            ,"Suppresses or enables hidden vtordisp class members."
"/vmb"                                  ,"Uses best base for pointers to members."
"/vmg"                                  ,"Uses full generality for pointers to members."
"/vmm"                                  ,"Declares multiple inheritance."
"/vms"                                  ,"Declares single inheritance."
"/vmv"                                  ,"Declares virtual inheritance."
"/volatile:iso"                         ,"Acquire/release semantics not guaranteed on volatile accesses."
"/volatile:ms"                          ,"Acquire/release semantics guaranteed on volatile accesses."
"/volatileMetadata"                     ,"Generate metadata on volatile memory accesses."
"/w"                                    ,"Disable all warnings."
"/W0, /W1, /W2, /W3, /W4"               ,"Set output warning level."
"/w1<n>, /w2<n>, /w3<n>, /w4<n>"        ,"Set warning level for the specified warning."
"/Wall"                                 ,"Enable all warnings, including warnings that are disabled by default."
"/wd<n>"                                ,"Disable the specified warning."
"/we<n>"                                ,"Treat the specified warning as an error."
"/WL"                                   ,"Enable one-line diagnostics for error and warning messages when compiling C++ source code from the command line."
"/wo<n>"                                ,"Display the specified warning only once."
"/Wv:xx[.yy[.zzzzz]]"                   ,"Disable warnings introduced after the specified version of the compiler."
"/WX"                                   ,"Treat warnings as errors."
"/X"                                    ,"Ignores the standard include directory."
"/Y-"                                   ,"Ignores all other precompiled-header compiler options in the current build."
"/Yc"                                   ,"Create .PCH file."
