"Option"                       ,"Purpose"
"@"                            ,"Specifies a response file."
"/ALIGN"                       ,"Specifies the alignment of each section."
"/ALLOWBIND"                   ,"Specifies that a DLL can't be bound."
"/ALLOWISOLATION"              ,"Specifies behavior for manifest lookup."
"/APPCONTAINER"                ,"Specifies whether the app must run within an appcontainer process environment."
"/ASSEMBLYDEBUG"               ,"Adds the DebuggableAttribute to a managed image."
"/ASSEMBLYLINKRESOURCE"        ,"Creates a link to a managed resource."
"/ASSEMBLYMODULE"              ,"Specifies that a Microsoft intermediate language (MSIL) module should be imported into the assembly."
"/ASSEMBLYRESOURCE"            ,"Embeds a managed resource file in an assembly."
"/BASE"                        ,"Sets a base address for the program."
"/CETCOMPAT"                   ,"Marks the binary as CET Shadow Stack compatible."
"/CGTHREADS"                   ,"Sets number of cl.exe threads to use for optimization and code generation when link-time code generation is specified."
"/CLRIMAGETYPE"                ,"Sets the type (IJW, pure, or safe) of a CLR image."
"/CLRSUPPORTLASTERROR"         ,"Preserves the last error code of functions that are called through the P/Invoke mechanism."
"/CLRTHREADATTRIBUTE"          ,"Specifies the threading attribute to apply to the entry point of your CLR program."
"/CLRUNMANAGEDCODECHECK"       ,"Specifies whether the linker will apply the SuppressUnmanagedCodeSecurity attribute to linker-generated PInvoke stubs that call from managed code into native DLLs."
"/DEBUG"                       ,"Creates debugging information."
"/DEBUGTYPE"                   ,"Specifies which data to include in debugging information."
"/DEF"                         ,"Passes a module-definition (.def) file to the linker."
"/DEFAULTLIB"                  ,"Searches the specified library when external references are resolved."
"/DELAY"                       ,"Controls the delayed loading of DLLs."
"/DELAYLOAD"                   ,"Causes the delayed loading of the specified DLL."
"/DELAYSIGN"                   ,"Partially signs an assembly."
"/DEPENDENTLOADFLAG"           ,"Sets default flags on dependent DLL loads."
"/DLL"                         ,"Builds a DLL."
"/DRIVER"                      ,"Creates a kernel mode driver."
"/DYNAMICBASE"                 ,"Specifies whether to generate an executable image that's rebased at load time by using the address space layout randomization (ASLR) feature."
"/ENTRY"                       ,"Sets the starting address."
"/ERRORREPORT"                 ,"Deprecated. Error reporting is controlled by Windows Error Reporting (WER) settings."
"/EXPORT"                      ,"Exports a function."
"/FILEALIGN"                   ,"Aligns sections within the output file on multiples of a specified value."
"/FIXED"                       ,"Creates a program that can be loaded only at its preferred base address."
"/FORCE"                       ,"Forces a link to complete even with unresolved symbols or symbols defined more than once."
"/FUNCTIONPADMIN"              ,"Creates an image that can be hot patched."
"/GENPROFILE, /FASTGENPROFILE" ,"Both of these options specify generation of a .pgd file by the linker to support profile-guided optimization (PGO). /GENPROFILE and /FASTGENPROFILE use different default parameters."
"/GUARD"                       ,"Enables Control Flow Guard protection."
"/HEAP"                        ,"Sets the size of the heap, in bytes."
"/HIGHENTROPYVA"               ,"Specifies support for high-entropy 64-bit address space layout randomization (ASLR)."
"/IDLOUT"                      ,"Specifies the name of the .idl file and other MIDL output files."
"/IGNORE"                      ,"Suppresses output of specified linker warnings."
"/IGNOREIDL"                   ,"Prevents the processing of attribute information into an .idl file."
"/IMPLIB"                      ,"Overrides the default import library name."
"/INCLUDE"                     ,"Forces symbol references."
"/INCREMENTAL"                 ,"Controls incremental linking."
"/INFERASANLIBS"               ,"Uses inferred sanitizer libraries."
