"Intrinsic name"                                ,"Technology" ,"Header"                   ,"Function prototype"
"_addcarry_u16"                                 ,""           ,"intrin.h"                 ,"unsigned char _addcarry_u16(unsigned char, unsigned short, unsigned short, unsigned short *);"
"_addcarry_u32"                                 ,""           ,"intrin.h"                 ,"unsigned char _addcarry_u32(unsigned char, unsigned int, unsigned int, unsigned int *);"
"_addcarry_u64"                                 ,""           ,"intrin.h"                 ,"unsigned char _addcarry_u64(unsigned char, unsigned __int64, unsigned __int64, unsigned __int64 *);"
"_addcarry_u8"                                  ,""           ,"intrin.h"                 ,"unsigned char _addcarry_u8(unsigned char, unsigned char, unsigned char, unsigned char *);"
"_addcarryx_u32"                                ,"ADX"        ,"immintrin.h"              ,"unsigned char _addcarryx_u32(unsigned char, unsigned int, unsigned int, unsigned int *);"
"_addcarryx_u64"                                ,"ADX"        ,"immintrin.h"              ,"unsigned char _addcarryx_u64(unsigned char, unsigned __int64, unsigned __int64, unsigned __int64 *);"
"__addgsbyte"                                   ,""           ,"intrin.h"                 ,"void __addgsbyte(unsigned long, unsigned char);"
"__addgsdword"                                  ,""           ,"intrin.h"                 ,"void __addgsdword(unsigned long, unsigned int);"
"__addgsqword"                                  ,""           ,"intrin.h"                 ,"void __addgsqword(unsigned long, unsigned __int64);"
"__addgsword"                                   ,""           ,"intrin.h"                 ,"void __addgsword(unsigned long, unsigned short);"
"_AddressOfReturnAddress"                       ,""           ,"intrin.h"                 ,"void * _AddressOfReturnAddress(void);"
"_andn_u32"                                     ,"BMI"        ,"ammintrin.h"              ,"unsigned int _andn_u32(unsigned int, unsigned int);"
"_andn_u64"                                     ,"BMI"        ,"ammintrin.h"              ,"unsigned __int64 _andn_u64(unsigned __int64, unsigned __int64);"
"_bextr_u32"                                    ,"BMI"        ,"ammintrin.h, immintrin.h" ,"unsigned int _bextr_u32(unsigned int, unsigned int, unsigned int);"
"_bextr_u64"                                    ,"BMI"        ,"ammintrin.h, immintrin.h" ,"unsigned __int64 _bextr_u64(unsigned __int64, unsigned int, unsigned int);"
"_bextri_u32"                                   ,"ABM"        ,"ammintrin.h"              ,"unsigned int _bextri_u32(unsigned int, unsigned int);"
"_bextri_u64"                                   ,"ABM"        ,"ammintrin.h"              ,"unsigned __int64 _bextri_u64(unsigned __int64, unsigned int);"
"_BitScanForward"                               ,""           ,"intrin.h"                 ,"unsigned char _BitScanForward(unsigned long*, unsigned long);"
